DEPTH,ROP,WOB,CO2,CH4,H2S,TEMPIN,TEMPOUT,FRACT,MUDLOSS,QUARTZIT,CALCITE,PYRITE,HEMATITE,EPIDOTAL,CHLORITE,ANHYDRIT,SERICITE,PP,SPM1,SPM2,FLOWIN,FLOWOUT%,GAINLOSS,RPM,TORQUE,PITVOL,TUFFASH ,RHYOLITE,BASALT,VOLCAN,ANDESITE,DACITE,TUFFCRYS,VOLCSEDI,CHERTARG,MARL,CLAYST%,CLAY%,SILTST%,SANDST%,SAND%,MEDSAND%,CRSSAND
254,280,1,206,0,0,67,71,0,0,0,1,0,0,0,0,0,0,862,115,114,750,40,0,50,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
255,203,1,206,0,0,68,70,0,0,0,0,0,0,0,0,0,0,853,115,114,750,38,0,51,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
256,292,1,206,0,0,66,69,0,0,0,0,0,0,0,0,0,0,854,115,114,750,39,0,51,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
257,304,1,206,0,0,67,70,0,0,0,1,0,0,0,0,0,0,861,115,114,750,38,0,51,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
258,293,0,206,0,0,68,70,0,0,0,0,0,0,0,0,0,0,855,115,114,750,38,0,50,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
259,352,0,206,0,0,68,70,0,0,0,0,0,0,0,0,0,0,866,115,114,750,39,0,48,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
260,281,0,206,0,0,68,70,0,0,0,1,0,0,0,0,0,0,868,115,114,750,39,0,48,0,196,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
261,287,0,206,0,0,67,70,0,0,0,1,0,0,0,0,0,0,859,115,114,750,40,0,55,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
262,393,0,206,0,0,66,71,0,0,0,0,0,0,0,0,0,0,879,115,114,750,39,0,55,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
263,283,0,206,0,0,67,72,0,0,0,0,0,0,0,0,0,0,867,115,114,750,38,0,55,0,196,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
264,345,0,206,0,0,70,72,0,0,0,1,0,0,0,0,0,0,852,114,114,747,41,0,57,0,255,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
265,395,0,206,0,0,70,73,0,0,0,0,0,0,0,0,0,0,863,114,114,747,38,0,49,0,255,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
266,299,0,206,0,0,70,73,0,0,0,0,0,0,0,0,0,0,869,115,114,750,38,0,49,0,256,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
267,272,0,206,0,0,70,73,0,0,0,1,0,0,0,0,0,0,869,115,114,750,38,0,49,0,257,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
268,555,0,206,0,0,70,73,0,0,0,0,0,0,0,0,0,0,900,115,114,750,39,0,51,0,256,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
269,522,0,206,0,0,70,74,0,0,0,0,0,0,0,0,0,0,887,115,114,750,39,0,52,0,256,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
